observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
        157812  lsst-dp0.2   400354114          X05  60145.373512  60145.373859    30.000                24    C/2022 O1        true  60145.373512    519.812762  51.855155  -36.236397   8.1145   8.1342   7.171   85.300        33.708   59.955  357.069     1.745    0.990   47.165  19.444
        500845  lsst-dp0.2   420833159          X05  60179.377281  60179.377628    30.000                24    C/2022 O1        true  60179.377281    553.816531  52.637263  -37.480740   8.2010   7.8937   6.866  104.221        35.648   86.179  356.532     1.902    1.160   41.977  19.425
        501048  lsst-dp0.2   421650165          X05  60180.308633  60180.308980    30.000                24    C/2022 O1        true  60180.308633    554.747883  52.618841  -37.523112   8.2035   7.8878   6.847  104.731        35.701   86.976  356.552     1.905    1.165   41.838  19.425
        553575  lsst-dp0.2   397283167          X05  60142.378593  60142.378940    30.000                24    C/2022 O1        true  60142.378593    516.817843  51.662830  -36.171561   8.1070   8.1558   7.159   83.675        33.535   57.791  357.228     1.726    0.976   47.629  19.446
        553694  lsst-dp0.2   397329171          X05  60142.400830  60142.401177    30.000                24    C/2022 O1        true  60142.400830    516.840080  51.664288  -36.172026   8.1071   8.1556   7.159   83.687        33.537   57.807  357.227     1.726    0.976   47.626  19.446
        559021  lsst-dp0.2   421682109          X05  60180.324512  60180.324859    30.000                24    C/2022 O1        true  60180.324512    554.763762  52.618470  -37.523847   8.2035   7.8877   6.847  104.739        35.702   86.989  356.553     1.905    1.165   41.836  19.425
        559158  lsst-dp0.2   421725057          X05  60180.344070  60180.344417    30.000                24    C/2022 O1        true  60180.344070    554.783320  52.618011  -37.524750   8.2036   7.8876   6.846  104.750        35.703   87.006  356.553     1.905    1.165   41.833  19.425
        559502  lsst-dp0.2   433961023          X05  60201.243771  60201.244118    30.000                24    C/2022 O1        true  60201.243771    575.683021  51.600851  -38.464675   8.2589   7.7762   6.315  115.462        36.874  106.791  357.516     1.932    1.279   38.836  19.423
        615839  lsst-dp0.2   410967119          X05  60162.359251  60162.359598    30.000                24    C/2022 O1        true  60162.359251    536.798501  52.586585  -36.761458   8.1572   8.0106   7.120   94.727        34.682   72.510  356.497     1.839    1.073   44.554  19.434
        615930  lsst-dp0.2   410997117          X05  60162.373109  60162.373456    30.000                24    C/2022 O1        true  60162.373109    536.812359  52.586890  -36.761990   8.1572   8.0105   7.120   94.735        34.683   72.521  356.497     1.839    1.073   44.552  19.434
        674174  lsst-dp0.2   397284054          X05  60142.379041  60142.379388    30.000                24    C/2022 O1        true  60142.379041    516.818291  51.662860  -36.171570   8.1070   8.1558   7.159   83.676        33.535   57.791  357.228     1.726    0.976   47.629  19.446
        674269  lsst-dp0.2   397332011          X05  60142.402173  60142.402520    30.000                24    C/2022 O1        true  60142.402173    516.841423  51.664376  -36.172054   8.1071   8.1556   7.159   83.688        33.537   57.808  357.227     1.726    0.976   47.626  19.446
       1197045  lsst-dp0.2   436490119          X05  60206.261522  60206.261869    30.000                24    C/2022 O1        true  60206.261522    580.700772  51.187850  -38.666477   8.2724   7.7572   6.173  117.709        37.153  112.188  357.886     1.931    1.308   38.173  19.425
       1197114  lsst-dp0.2   436526091          X05  60206.278746  60206.279093    30.000                24    C/2022 O1        true  60206.278746    580.717996  51.186282  -38.667145   8.2725   7.7572   6.172  117.717        37.154  112.207  357.887     1.931    1.308   38.170  19.425
       1253098  lsst-dp0.2   414874114          X05  60166.338805  60166.339152    30.000                24    C/2022 O1        true  60166.338805    540.778055  52.663114  -36.916595   8.1673   7.9822   7.078   96.961        34.909   75.576  356.449     1.856    1.093   43.947  19.432
       1257914  lsst-dp0.2   398408172          X05  60143.418834  60143.419181    30.000                24    C/2022 O1        true  60143.418834    517.858084  51.731577  -36.193050   8.1096   8.1483   7.164   84.238        33.595   58.542  357.171     1.733    0.981   47.468  19.446
       1312106  lsst-dp0.2   415028035          X05  60166.411011  60166.411358    30.000                24    C/2022 O1        true  60166.411011    540.850261  52.663998  -36.919542   8.1675   7.9817   7.077   97.002        34.913   75.633  356.448     1.857    1.093   43.936  19.432
       1754316  lsst-dp0.2   431134166          X05  60198.222181  60198.222528    30.000                24    C/2022 O1        true  60198.222181    572.661431  51.818715  -38.335943   8.2508   7.7893   6.400  114.032        36.706  103.673  357.318     1.932    1.262   39.249  19.422
       2091331  lsst-dp0.2   410870183          X05  60162.312325  60162.312672    30.000                24    C/2022 O1        true  60162.312325    536.751575  52.585541  -36.759650   8.1571   8.0110   7.120   94.701        34.680   72.474  356.498     1.839    1.073   44.561  19.434
       2125403  lsst-dp0.2   406991039          X05  60158.404981  60158.405328    30.000                24    C/2022 O1        true  60158.404981    532.844231  52.473473  -36.618042   8.1471   8.0393   7.150   92.511        34.457   69.523  356.578     1.819    1.053   45.159  19.436
       2125556  lsst-dp0.2   425465008          X05  60184.253032  60184.253379    30.000                24    C/2022 O1        true  60184.253032    558.692282  52.515112  -37.703960   8.2138   7.8635   6.760  106.869        35.923   90.420  356.660     1.915    1.186   41.253  19.424
       2518085  lsst-dp0.2   427020180          X05  60187.320898  60187.321245    30.000                24    C/2022 O1        true  60187.320898    561.760148  52.405990  -37.845226   8.2219   7.8455   6.687  108.504        36.096   93.181  356.769     1.920    1.203   40.803  19.423
       2521728  lsst-dp0.2   426665016          X05  60185.378734  60185.379081    30.000                24    C/2022 O1        true  60185.378734    559.817984  52.477715  -37.755852   8.2168   7.8568   6.734  107.472        35.986   91.424  356.698     1.917    1.192   41.087  19.423
       2581336  lsst-dp0.2   408906053          X05  60160.337989  60160.338336    30.000                24    C/2022 O1        true  60160.337989    534.777239  52.533378  -36.686698   8.1520   8.0252   7.137   93.594        34.567   70.977  356.534     1.829    1.063   44.863  19.435
       2581451  lsst-dp0.2   408946012          X05  60160.356609  60160.356956    30.000                24    C/2022 O1        true  60160.356609    534.795859  52.533879  -36.687389   8.1521   8.0251   7.136   93.604        34.568   70.991  356.534     1.829    1.063   44.860  19.435
       2581561  lsst-dp0.2   427028072          X05  60187.324526  60187.324873    30.000                24    C/2022 O1        true  60187.324526    561.763776  52.405838  -37.845395   8.2219   7.8455   6.687  108.505        36.096   93.185  356.769     1.920    1.203   40.803  19.423
         78084  lsst-dp0.2   419045080          X05  60177.330171  60177.330518    30.000                26    C/2023 V4        true  60177.330171   -283.037213  68.157774  -39.260382   3.9277   3.7693  14.923   91.470       244.637   75.315   22.128     1.018    0.539  -84.367  19.900
         78344  lsst-dp0.2   419838151          X05  60178.368425  60178.368772    30.000                26    C/2023 V4        true  60178.368425   -281.998959  68.283035  -39.374460   3.9169   3.7506  14.959   91.901       244.737   76.107   22.242     1.010    0.539  -84.786  19.884
        104318  lsst-dp0.2   419048048          X05  60177.331521  60177.331868    30.000                26    C/2023 V4        true  60177.331521   -283.035863  68.157934  -39.260532   3.9277   3.7692  14.923   91.470       244.637   75.316   22.128     1.018    0.539  -84.367  19.900
        105749  lsst-dp0.2   419013156          X05  60177.315284  60177.315631    30.000                26    C/2023 V4        true  60177.315284   -283.052100  68.155996  -39.258730   3.9279   3.7695  14.923   91.464       244.636   75.304   22.126     1.018    0.539  -84.361  19.900
        148088  lsst-dp0.2   400460148          X05  60145.423294  60145.423641    30.000                26    C/2023 V4        true  60145.423294   -314.944090  62.695401  -36.870686   4.2550   4.3408  13.532   78.427       241.816   52.761   19.065     1.235    0.498  -73.643  20.338
        420927  lsst-dp0.2   427632106          X05  60192.343590  60192.343937    30.000                26    C/2023 V4        true  60192.343590   -268.023794  69.515719  -41.103794   3.7708   3.5018  15.369   97.643       246.135   87.385   23.867     0.898    0.534   88.983  19.665
        481273  lsst-dp0.2   420719167          X05  60179.323496  60179.323843    30.000                26    C/2023 V4        true  60179.323496   -281.043888  68.394818  -39.481122   3.9070   3.7334  14.991   92.298       244.829   76.841   22.348     1.002    0.539  -85.176  19.869
        481420  lsst-dp0.2   420765125          X05  60179.345902  60179.346249    30.000                26    C/2023 V4        true  60179.345902   -281.021482  68.397306  -39.483692   3.9068   3.7330  14.991   92.307       244.831   76.858   22.350     1.002    0.539  -85.186  19.869
        481609  lsst-dp0.2   421675125          X05  60180.321335  60180.321682    30.000                26    C/2023 V4        true  60180.321335   -280.046049  68.507497  -39.594536   3.8966   3.7155  15.023   92.712       244.926   77.613   22.459     0.995    0.539  -85.589  19.854
        488007  lsst-dp0.2   421635097          X05  60180.301928  60180.302275    30.000                26    C/2023 V4        true  60180.301928   -280.065456  68.505412  -39.592268   3.8968   3.7159  15.023   92.704       244.924   77.598   22.457     0.995    0.539  -85.581  19.854
        547069  lsst-dp0.2   420718011          X05  60179.323051  60179.323398    30.000                26    C/2023 V4        true  60179.323051   -281.044333  68.394768  -39.481071   3.9070   3.7335  14.991   92.298       244.829   76.840   22.348     1.002    0.539  -85.176  19.869
       1111651  lsst-dp0.2   441192114          X05  60211.351115  60211.351462    30.000                26    C/2023 V4        true  60211.351115   -249.016269  69.437379  -43.902995   3.5695   3.1771  15.760  104.910       248.221  105.279   26.322     0.727    0.496   78.296  19.346
       1394373  lsst-dp0.2   401651009          X05  60147.411890  60147.412237    30.000                26    C/2023 V4        true  60147.411890   -312.955494  63.106215  -36.955150   4.2349   4.3057  13.633   79.212       241.979   54.107   19.233     1.223    0.502  -74.212  20.314
       1728569  lsst-dp0.2   433140069          X05  60200.285383  60200.285730    30.000                26    C/2023 V4        true  60200.285383   -260.082001  69.768861  -42.227554   3.6871   3.3636  15.552  100.793       246.979   94.436   24.868     0.829    0.522   84.871  19.534
       1745440  lsst-dp0.2   418205187          X05  60176.398996  60176.399343    30.000                26    C/2023 V4        true  60176.398996   -283.968388  68.041471  -39.160073   3.9374   3.7860  14.891   91.083       244.548   74.609   22.027     1.025    0.539  -83.995  19.914
       1747368  lsst-dp0.2   433095036          X05  60200.264258  60200.264605    30.000                26    C/2023 V4        true  60200.264258   -260.103126  69.768796  -42.224408   3.6873   3.3640  15.552  100.785       246.977   94.417   24.865     0.830    0.522   84.883  19.535
       1764657  lsst-dp0.2   418227131          X05  60176.408880  60176.409227    30.000                26    C/2023 V4        true  60176.408880   -283.958504  68.042676  -39.161141   3.9373   3.7858  14.891   91.087       244.549   74.617   22.028     1.025    0.539  -83.999  19.914
       1782820  lsst-dp0.2   418202029          X05  60176.397641  60176.397988    30.000                26    C/2023 V4        true  60176.397641   -283.969743  68.041306  -39.159926   3.9374   3.7860  14.891   91.082       244.548   74.608   22.027     1.025    0.539  -83.995  19.914
       1978892  lsst-dp0.2   443102041          X05  60215.224382  60215.224729    30.000                26    C/2023 V4        true  60215.224382   -245.143002  69.106166  -44.501548   3.5281   3.1140  15.826  106.243       248.676  109.397   26.833     0.691    0.484   75.723  19.279
       1988216  lsst-dp0.2   443109184          X05  60215.227502  60215.227849    30.000                26    C/2023 V4        true  60215.227502   -245.139882  69.105832  -44.502038   3.5280   3.1139  15.826  106.244       248.676  109.400   26.834     0.691    0.484   75.720  19.279
       2076300  lsst-dp0.2   425542048          X05  60184.290205  60184.290552    30.000                26    C/2023 V4        true  60184.290205   -276.077179  68.914280  -40.064244   3.8552   3.6445  15.147   94.354       245.316   80.736   22.909     0.964    0.539  -87.285  19.793
       2105407  lsst-dp0.2   407942030          X05  60159.355366  60159.355713    30.000                26    C/2023 V4        true  60159.355366   -301.012018  65.406005  -37.643331   4.1131   4.0929  14.205   84.029       242.993   62.295   20.306     1.146    0.523  -77.871  20.157
       2108915  lsst-dp0.2   407940136          X05  60159.354471  60159.354818    30.000                26    C/2023 V4        true  60159.354471   -301.012913  65.405847  -37.643266   4.1131   4.0929  14.205   84.028       242.993   62.294   20.306     1.146    0.523  -77.871  20.157
       2112318  lsst-dp0.2   406977137          X05  60158.398662  60158.399009    30.000                26    C/2023 V4        true  60158.398662   -301.968722  65.233392  -37.576870   4.1229   4.1100  14.161   83.638       242.909   61.630   20.216     1.152    0.522  -77.561  20.170
       2149758  lsst-dp0.2   407927001          X05  60159.348660  60159.349007    30.000                26    C/2023 V4        true  60159.348660   -301.018724  65.404821  -37.642844   4.1132   4.0930  14.204   84.026       242.992   62.290   20.306     1.146    0.523  -77.869  20.157
       2470965  lsst-dp0.2   426669108          X05  60185.380542  60185.380889    30.000                26    C/2023 V4        true  60185.380542   -274.986842  69.013510  -40.198550   3.8438   3.6251  15.180   94.803       245.425   81.611   23.036     0.955    0.539  -87.767  19.776
        215995  lsst-dp0.2   400356030          X05  60145.374406  60145.374753    30.000                27    C/2023 V5        true  60145.374406   -146.104631  58.729972  -28.942192   2.5128   2.5467  23.161   76.543       252.090   56.748    5.386   615.082    4.095  -12.166  27.432
        237439  lsst-dp0.2   400390014          X05  60145.390364  60145.390711    30.000                27    C/2023 V5        true  60145.390364   -146.088673  58.734099  -28.941624   2.5126   2.5464  23.164   76.550       252.094   56.758    5.388   614.902    4.097  -12.171  27.431
        247703  lsst-dp0.2   419065072          X05  60177.339396  60177.339743    30.000                27    C/2023 V5        true  60177.339396   -114.139641  66.087599  -28.846330   2.0960   1.8253  28.861   90.584       259.932   76.297   11.617   302.745    8.304  -25.236  25.920
        249509  lsst-dp0.2   419024177          X05  60177.320386  60177.320733    30.000                27    C/2023 V5        true  60177.320386   -114.158651  66.084223  -28.845610   2.0962   1.8257  28.858   90.575       259.926   76.285   11.613   302.900    8.301  -25.226  25.921
        272878  lsst-dp0.2   419029092          X05  60177.322623  60177.322970    30.000                27    C/2023 V5        true  60177.322623   -114.156414  66.084621  -28.845695   2.0962   1.8257  28.858   90.576       259.927   76.286   11.613   302.882    8.302  -25.227  25.921
        884738  lsst-dp0.2   410962112          X05  60162.357014  60162.357361    30.000                27    C/2023 V5        true  60162.357014   -129.122023  62.944262  -28.601597   2.2931   2.1705  26.084   83.721       255.901   66.953    8.458   436.631    6.142  -18.233  26.687
        889532  lsst-dp0.2   420778181          X05  60179.351722  60179.352069    30.000                27    C/2023 V5        true  60179.351722   -112.127315  66.448684  -28.921459   2.0693   1.7781  29.246   91.548       260.532   77.603   12.079   286.562    8.625  -26.345  25.808
        889687  lsst-dp0.2   420820147          X05  60179.370853  60179.371200    30.000                27    C/2023 V5        true  60179.370853   -112.108184  66.451890  -28.922270   2.0690   1.7777  29.250   91.557       260.537   77.615   12.083   286.411    8.628  -26.356  25.807
        893855  lsst-dp0.2   420827157          X05  60179.374388  60179.374735    30.000                27    C/2023 V5        true  60179.374388   -112.104649  66.452481  -28.922420   2.0690   1.7776  29.250   91.559       260.538   77.617   12.084   286.383    8.629  -26.358  25.807
        899061  lsst-dp0.2   434089101          X05  60201.302094  60201.302441    30.000                27    C/2023 V5        true  60201.302094    -90.176943  68.825007  -30.466421   1.7755   1.2559  33.532  102.868       268.255   93.419   17.773   138.768   12.797  -43.228  24.388
        934490  lsst-dp0.2   410963090          X05  60162.357462  60162.357809    30.000                27    C/2023 V5        true  60162.357462   -129.121575  62.944363  -28.601597   2.2931   2.1705  26.084   83.722       255.901   66.953    8.458   436.626    6.143  -18.233  26.687
        939961  lsst-dp0.2   410988060          X05  60162.368993  60162.369340    30.000                27    C/2023 V5        true  60162.368993   -129.110044  62.946975  -28.601609   2.2930   2.1702  26.086   83.727       255.904   66.960    8.460   436.515    6.144  -18.238  26.687
        945150  lsst-dp0.2   420785093          X05  60179.354890  60179.355237    30.000                27    C/2023 V5        true  60179.354890   -112.124147  66.449216  -28.921594   2.0692   1.7781  29.247   91.549       260.533   77.605   12.079   286.537    8.625  -26.347  25.808
        976633  lsst-dp0.2   410989072          X05  60162.369441  60162.369788    30.000                27    C/2023 V5        true  60162.369441   -129.109596  62.947076  -28.601610   2.2930   2.1702  26.086   83.727       255.904   66.961    8.460   436.510    6.144  -18.238  26.687
        978727  lsst-dp0.2   410990008          X05  60162.369888  60162.370235    30.000                27    C/2023 V5        true  60162.369888   -129.109149  62.947177  -28.601610   2.2930   2.1702  26.086   83.727       255.904   66.961    8.460   436.506    6.144  -18.238  26.687
       1319104  lsst-dp0.2   452557126          X05  60234.140375  60234.140722    30.000                27    C/2023 V5        true  60234.140375    -57.338662  54.004334  -35.624920   1.3379   0.4826  37.156  125.832       286.161  139.037   22.187    32.010   12.418   38.471  21.082
       1376433  lsst-dp0.2   451489018          X05  60232.148298  60232.148645    30.000                27    C/2023 V5        true  60232.148298    -59.330739  56.857267  -35.303916   1.3637   0.5265  37.307  124.024       284.750  133.701   23.603    33.564   14.204   49.476  21.354
       1376864  lsst-dp0.2   451798074          X05  60232.294199  60232.294546    30.000                27    C/2023 V5        true  60232.294199    -59.184838  56.658099  -35.330247   1.3618   0.5233  37.298  124.155       284.852  134.072   23.521    33.440   14.080   48.654  21.335
       1405632  lsst-dp0.2   447523121          X05  60223.189641  60223.189988    30.000                27    C/2023 V5        true  60223.189641    -68.289396  64.565655  -33.611270   1.4817   0.7326  37.060  116.732       279.016  116.693   23.969    49.023   17.412  -85.529  22.431
       1588279  lsst-dp0.2   433186050          X05  60200.308245  60200.308592    30.000                27    C/2023 V5        true  60200.308245    -91.170792  68.803935  -30.364705   1.7889   1.2797  33.340  102.316       267.850   92.610   17.488   144.285   12.579  -42.191  24.461
       1619986  lsst-dp0.2   398419156          X05  60143.423856  60143.424203    30.000                27    C/2023 V5        true  60143.423856   -148.055181  58.215766  -29.020282   2.5378   2.5888  22.841   75.758       251.695   55.580    5.062   637.329    3.885  -11.560  27.510
       1859305  lsst-dp0.2   431368066          X05  60198.328165  60198.328512    30.000                27    C/2023 V5        true  60198.328165    -93.150872  68.729500  -30.171794   1.8155   1.3273  32.954  101.229       267.062   91.034   16.928   155.624   12.150  -40.230  24.605
       1888243  lsst-dp0.2   418155090          X05  60176.376489  60176.376836    30.000                27    C/2023 V5        true  60176.376489   -115.102548  65.908514  -28.814120   2.1087   1.8478  28.678   90.127       259.650   75.678   11.400   310.645    8.154  -24.723  25.973
       1889626  lsst-dp0.2   431352075          X05  60198.320869  60198.321216    30.000                27    C/2023 V5        true  60198.320869    -93.158168  68.729235  -30.171082   1.8156   1.3274  32.952  101.225       267.059   91.029   16.926   155.667   12.149  -40.223  24.605
       2235519  lsst-dp0.2   443081153          X05  60215.215001  60215.215348    30.000                27    C/2023 V5        true  60215.215001    -76.264036  67.533117  -32.254896   1.5883   0.9219  36.029  111.210       274.634  106.536   21.899    74.362   16.087  -63.527  23.233
       2267236  lsst-dp0.2   444712022          X05  60217.211193  60217.211540    30.000                27    C/2023 V5        true  60217.211193    -74.267844  67.003791  -32.571175   1.5616   0.8742  36.330  112.527       275.675  108.819   22.474    67.169   16.535  -67.910  23.044
       2267427  lsst-dp0.2   444717024          X05  60217.213425  60217.213772    30.000                27    C/2023 V5        true  60217.213425    -74.265612  67.003088  -32.571555   1.5615   0.8741  36.331  112.528       275.676  108.821   22.475    67.161   16.535  -67.915  23.043
       2275952  lsst-dp0.2   443149047          X05  60215.245427  60215.245774    30.000                27    C/2023 V5        true  60215.245427    -76.233610  67.525352  -32.259811   1.5879   0.9211  36.033  111.229       274.650  106.570   21.908    74.250   16.094  -63.591  23.230
       2304364  lsst-dp0.2   406997182          X05  60158.407689  60158.408036    30.000                27    C/2023 V5        true  60158.407689   -133.071348  62.012551  -28.625368   2.3446   2.2595  25.381   81.998       254.951   64.564    7.700   475.670    5.630  -16.674  26.871
       2326229  lsst-dp0.2   390571019          X05  60132.422446  60132.422793    30.000                27    C/2023 V5        true  60132.422446   -159.056591  55.235975  -29.604150   2.6775   2.8208  21.104   71.481       249.601   48.942    3.336   769.229    2.826   -8.405  27.929
       2734516  lsst-dp0.2   427089068          X05  60187.356889  60187.357236    30.000                27    C/2023 V5        true  60187.356889   -104.122148  67.692886  -29.324406   1.9626   1.5892  30.798   95.490       263.081   82.979   14.011   226.529    9.992  -31.325  25.334
