observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
       2415869  lsst-dp0.2   209060048          X05  59862.353581  59862.353928    30.000                18    2022 SC19        true  59862.353581    -52.762632  54.536298  -41.298804   1.2669   0.4249  42.927  120.222       308.168  133.474   29.303     0.166    0.149  -26.181  19.168
       2490299  lsst-dp0.2   209016143          X05  59862.331637  59862.331984    30.000                18    2022 SC19        true  59862.331637    -52.784576  54.560028  -41.304755   1.2670   0.4252  42.933  120.202       308.151  133.430   29.292     0.166    0.149  -26.175  19.170
       2490395  lsst-dp0.2   209849050          X05  59863.333979  59863.334326    30.000                18    2022 SC19        true  59863.333979    -51.782234  53.490070  -41.023506   1.2610   0.4110  42.648  121.150       308.962  135.483   29.806     0.163    0.148  -26.422  19.078
       2492923  lsst-dp0.2   209817007          X05  59863.317518  59863.317865    30.000                18    2022 SC19        true  59863.317518    -51.798695  53.509239  -41.028634   1.2611   0.4113  42.653  121.134       308.949  135.448   29.798     0.163    0.148  -26.419  19.079
       2517781  lsst-dp0.2   209847073          X05  59863.333059  59863.333406    30.000                18    2022 SC19        true  59863.333059    -51.783154  53.491141  -41.023794   1.2610   0.4110  42.648  121.149       308.962  135.481   29.806     0.163    0.148  -26.422  19.078
          1407  lsst-dp0.2   221579053          X05  59879.184223  59879.184570    30.000                20    C/2022 R6        true  59879.184223  -1033.351165  53.350024  -42.459618   9.3834   8.8292   5.197  121.251       293.634  154.506   89.626     0.329    0.306   51.048  18.808
         15018  lsst-dp0.2   221619035          X05  59879.204093  59879.204440    30.000                20    C/2022 R6        true  59879.204093  -1033.331295  53.348431  -42.460559   9.3833   8.8291   5.197  121.250       293.635  154.531   89.628     0.329    0.306   51.039  18.808
         66942  lsst-dp0.2   193820086          X05  59840.232902  59840.233249    30.000                20    C/2022 R6        true  59840.232902  -1072.302486  55.156641  -39.729466   9.5541   9.0987   5.510  114.160       292.078  108.867   86.819     0.327    0.323   76.610  18.936
         90046  lsst-dp0.2   183850127          X05  59823.325918  59823.326265    30.000                20    C/2022 R6        true  59823.325918  -1089.209470  55.002480  -38.265200   9.6288   9.2841   5.754  107.066       291.420   92.785   86.098     0.351    0.331  -79.645  19.007
         90178  lsst-dp0.2   193780070          X05  59840.211503  59840.211850    30.000                20    C/2022 R6        true  59840.211503  -1072.323885  55.156865  -39.727633   9.5542   9.0989   5.510  114.152       292.078  108.845   86.818     0.327    0.323   76.695  18.936
        112210  lsst-dp0.2   183773040          X05  59823.289404  59823.289751    30.000                20    C/2022 R6        true  59823.289404  -1089.245984  55.001574  -38.262009   9.6290   9.2845   5.754  107.050       291.419   92.753   86.097     0.351    0.331  -79.624  19.008
        160875  lsst-dp0.2   159493030          X05  59791.359860  59791.360207    30.000                20    C/2022 R6        true  59791.359860  -1121.175528  53.176844  -35.686850   9.7709   9.7071   5.965   90.612       290.203   67.727   85.722     0.453    0.345  -64.396  19.155
        301178  lsst-dp0.2   204709156          X05  59857.348731  59857.349078    30.000                20    C/2022 R6        true  59857.348731  -1055.186657  54.704348  -41.106021   9.4789   8.9506   5.286  119.205       292.755  127.678   87.898     0.321    0.315   51.109  18.873
        301977  lsst-dp0.2   228091137          X05  59887.270746  59887.271093    30.000                20    C/2022 R6        true  59887.270746  -1025.264642  52.686516  -42.792369   9.3482   8.8044   5.240  120.592       293.964  164.707   90.298     0.334    0.302   46.961  18.789
        302093  lsst-dp0.2   230637086          X05  59898.056664  59898.057011    30.000                20    C/2022 R6        true  59898.056664  -1014.478724  51.732329  -43.065927   9.3014   8.7878   5.360  118.562       294.408  178.048   91.155     0.341    0.296   40.256  18.768
        302244  lsst-dp0.2   238035055          X05  59908.109538  59908.109885    30.000                20    C/2022 R6        true  59908.109538  -1004.425850  50.825571  -43.133942   9.2580   8.7884   5.517  115.606       294.826  189.950   91.859     0.345    0.290   33.219  18.752
        302416  lsst-dp0.2   238075083          X05  59908.128472  59908.128819    30.000                20    C/2022 R6        true  59908.128472  -1004.406916  50.823852  -43.133888   9.2579   8.7884   5.518  115.600       294.827  189.972   91.860     0.345    0.290   33.205  18.752
        302739  lsst-dp0.2   243847184          X05  59916.112863  59916.113210    30.000                20    C/2022 R6        true  59916.112863   -996.422525  50.133144  -43.056145   9.2235   8.7990   5.660  112.639       295.162  198.940   92.316     0.348    0.285   27.278  18.741
        325531  lsst-dp0.2   211088090          X05  59866.138205  59866.138552    30.000                20    C/2022 R6        true  59866.138205  -1046.397183  54.251992  -41.719805   9.4404   8.8923   5.216  120.683       293.107  138.209   88.561     0.323    0.311   54.039  18.845
